# date,time_utc,latitude,longitude,satellites,altitude_m,speed_kmh,fix
,,,,,,,NO_FIX
2026-06-20,18:50:49,48.151712,11.585168,12,529.90,5.19,VALID
2026-06-20,18:50:50,48.151720,11.585151,12,528.10,4.82,VALID
2026-06-20,18:50:51,48.151726,11.585135,12,526.70,4.52,VALID
2026-06-20,18:50:52,48.151730,11.585122,12,526.40,3.83,VALID
2026-06-20,18:50:52,48.151730,11.585122,12,526.40,3.83,VALID
2026-06-20,18:50:53,48.151727,11.585103,12,525.20,4.94,VALID
2026-06-20,18:50:54,48.151725,11.585084,12,524.00,3.96,VALID
2026-06-20,18:50:55,48.151730,11.585068,12,523.50,3.54,VALID
2026-06-20,18:50:56,48.151734,11.585050,12,523.50,4.46,VALID
2026-06-20,18:50:57,48.151739,11.585034,12,522.80,3.59,VALID
2026-06-20,18:50:58,48.151745,11.585019,12,522.80,3.63,VALID
2026-06-20,18:50:58,48.151745,11.585019,12,521.60,3.63,VALID
2026-06-20,18:50:59,48.151754,11.585001,12,520.70,5.91,VALID
2026-06-20,18:51:00,48.151762,11.584983,12,519.10,4.61,VALID
2026-06-20,18:51:01,48.151772,11.584968,12,518.20,6.22,VALID
2026-06-20,18:51:02,48.151775,11.584947,12,516.90,5.54,VALID
2026-06-20,18:51:03,48.151781,11.584931,12,517.40,5.43,VALID
2026-06-20,18:51:04,48.151793,11.584918,12,517.40,6.17,VALID
2026-06-20,18:51:04,48.151793,11.584918,12,517.30,6.17,VALID
2026-06-20,18:51:05,48.151796,11.584899,12,514.10,4.63,VALID
2026-06-20,18:51:06,48.151798,11.584883,12,511.30,4.35,VALID
2026-06-20,18:51:07,48.151798,11.584864,12,508.90,4.22,VALID
2026-06-20,18:51:08,48.151799,11.584848,12,505.90,4.00,VALID
2026-06-20,18:51:09,48.151804,11.584832,12,503.90,4.65,VALID
2026-06-20,18:51:10,48.151809,11.584821,12,503.90,2.94,VALID
2026-06-20,18:51:11,48.151811,11.584808,12,503.90,3.02,VALID
2026-06-20,18:51:11,48.151811,11.584808,12,502.60,3.02,VALID
2026-06-20,18:51:12,48.151813,11.584794,12,502.10,3.50,VALID
2026-06-20,18:51:13,48.151813,11.584778,12,502.00,3.70,VALID
2026-06-20,18:51:14,48.151813,11.584765,12,500.50,2.80,VALID
2026-06-20,18:51:15,48.151814,11.584750,12,499.30,3.50,VALID
2026-06-20,18:51:16,48.151815,11.584735,12,498.80,4.17,VALID
2026-06-20,18:51:17,48.151818,11.584715,12,498.60,4.65,VALID
2026-06-20,18:51:18,48.151821,11.584699,12,497.90,3.94,VALID
2026-06-20,18:51:19,48.151822,11.584681,12,497.90,5.06,VALID
2026-06-20,18:51:20,48.151825,11.584670,12,497.60,2.69,VALID
2026-06-20,18:51:20,48.151825,11.584670,12,497.00,2.69,VALID
2026-06-20,18:51:21,48.151825,11.584658,12,496.30,2.63,VALID
2026-06-20,18:51:22,48.151822,11.584639,12,496.10,5.82,VALID
2026-06-20,18:51:23,48.151821,11.584618,12,496.20,4.70,VALID
2026-06-20,18:51:24,48.151821,11.584603,12,495.90,3.28,VALID
2026-06-20,18:51:25,48.151820,11.584584,12,495.80,4.83,VALID
2026-06-20,18:51:26,48.151818,11.584566,12,495.90,4.54,VALID
2026-06-20,18:51:27,48.151817,11.584548,12,496.10,4.48,VALID
2026-06-20,18:51:28,48.151816,11.584526,12,496.50,5.43,VALID
2026-06-20,18:51:29,48.151818,11.584505,12,496.80,4.65,VALID
2026-06-20,18:51:30,48.151821,11.584484,12,497.30,4.50,VALID
2026-06-20,18:51:31,48.151823,11.584467,12,497.30,4.28,VALID
2026-06-20,18:51:32,48.151822,11.584454,12,496.60,2.43,VALID
2026-06-20,18:51:33,48.151818,11.584444,12,495.40,1.35,VALID
2026-06-20,18:51:34,48.151817,11.584428,12,495.40,1.57,VALID
2026-06-20,18:51:35,48.151816,11.584413,12,495.10,2.67,VALID
2026-06-20,18:51:36,48.151814,11.584405,12,493.70,1.35,VALID
